ID du problème,Description,État,Gravité,Estimation en points (story point),Chemin d’accès du projet,Genre d’emplacement,Chemin,Ligne,Colonne,ID d‘incident,Lien d'aide,Nom de l'assembly,Version de l'assembly,Clé publique d’assemblée,Extrait
NuGet.0003,La fonctionnalité du package NuGet est incluse dans la référence de l’infrastructure,Active,Mandatory,1,Thirdparty\SharpDevelop\ICSharpCode.Core\ICSharpCode.Core.csproj,File,Thirdparty\SharpDevelop\ICSharpCode.Core\ICSharpCode.Core.csproj,,,Microsoft.Win32.Registry 5.0.0,,,,,"Microsoft.Win32.Registry, 5.0.0  Recommandation :  Fonctionnalités de package incluses dans la nouvelle référence de framework"
Project.0002,Le ou les frameworks cibles du projet doivent être modifiés,Active,Mandatory,1,Thirdparty\SharpDevelop\ICSharpCode.Core.WinForms\ICSharpCode.Core.WinForms.csproj,File,Thirdparty\SharpDevelop\ICSharpCode.Core.WinForms\ICSharpCode.Core.WinForms.csproj,,,,,,,,Infrastructure cible actuelle: net6.0-windows Infrastructure cible recommandé: net10.0--windows
Project.0002,Le ou les frameworks cibles du projet doivent être modifiés,Active,Mandatory,1,Thirdparty\SharpDevelop\ICSharpCode.TextEditor\ICSharpCode.TextEditor.csproj,File,Thirdparty\SharpDevelop\ICSharpCode.TextEditor\ICSharpCode.TextEditor.csproj,,,,,,,,Infrastructure cible actuelle: net6.0-windows Infrastructure cible recommandé: net10.0--windows
Project.0002,Le ou les frameworks cibles du projet doivent être modifiés,Active,Mandatory,1,LocalConfigure\LocalConfigure.csproj,File,LocalConfigure\LocalConfigure.csproj,,,,,,,,Infrastructure cible actuelle: net6.0-windows Infrastructure cible recommandé: net10.0--windows
Project.0002,Le ou les frameworks cibles du projet doivent être modifiés,Active,Mandatory,1,Maestro.AddIn.ExtendedObjectModels\Maestro.AddIn.ExtendedObjectModels.csproj,File,Maestro.AddIn.ExtendedObjectModels\Maestro.AddIn.ExtendedObjectModels.csproj,,,,,,,,Infrastructure cible actuelle: net6.0-windows Infrastructure cible recommandé: net10.0--windows
Project.0002,Le ou les frameworks cibles du projet doivent être modifiés,Active,Mandatory,1,Maestro.AddIn.FdoToolbox\Maestro.AddIn.FdoToolbox.csproj,File,Maestro.AddIn.FdoToolbox\Maestro.AddIn.FdoToolbox.csproj,,,,,,,,Infrastructure cible actuelle: net6.0-windows Infrastructure cible recommandé: net10.0--windows
NuGet.0001,Le package NuGet est incompatible,Active,Mandatory,1,Maestro.AddIn.Local\Maestro.AddIn.Local.csproj,File,Maestro.AddIn.Local\Maestro.AddIn.Local.csproj,,,mg-desktop-viewer-x64 3.1.2.9484,,,,,"mg-desktop-viewer-x64, 3.1.2.9484  Recommandation :  Version prise en charge introuvable"
NuGet.0001,Le package NuGet est incompatible,Active,Mandatory,1,Maestro.AddIn.Local\Maestro.AddIn.Local.csproj,File,Maestro.AddIn.Local\Maestro.AddIn.Local.csproj,,,mg-desktop-x64 3.1.2.9484,,,,,"mg-desktop-x64, 3.1.2.9484  Recommandation :  Version prise en charge introuvable"
Project.0002,Le ou les frameworks cibles du projet doivent être modifiés,Active,Mandatory,1,Maestro.AddIn.Local\Maestro.AddIn.Local.csproj,File,Maestro.AddIn.Local\Maestro.AddIn.Local.csproj,,,,,,,,Infrastructure cible actuelle: net6.0-windows Infrastructure cible recommandé: net10.0--windows
NuGet.0002,La mise à niveau du package NuGet est recommandée,Active,Potential,1,Maestro.AddIn.Rest\Maestro.AddIn.Rest.csproj,File,Maestro.AddIn.Rest\Maestro.AddIn.Rest.csproj,,,Newtonsoft.Json 13.0.3,,,,,"Newtonsoft.Json, 13.0.3  Recommandation :  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
Project.0002,Le ou les frameworks cibles du projet doivent être modifiés,Active,Mandatory,1,Maestro.AddIn.Rest\Maestro.AddIn.Rest.csproj,File,Maestro.AddIn.Rest\Maestro.AddIn.Rest.csproj,,,,,,,,Infrastructure cible actuelle: net6.0-windows Infrastructure cible recommandé: net10.0--windows
